# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 559 361 2557 822
p 2 0 577 343 2558 836
p 2 0 551 369 2070 815
p 2 0 572 348 2296 820
p 2 0 564 356 2071 838
p 2 0 559 361 1747 803
p 2 0 603 317 3678 868
p 2 0 568 352 2393 813
p 2 2 538 380 2021 802
p 2 0 546 374 1888 793
p 2 0 615 305 2963 892
p 2 0 573 347 2053 816
p 2 0 544 376 2181 816
p 2 0 572 348 2230 818
p 2 0 530 390 1906 806
p 2 0 579 341 2320 842
p 2 0 582 338 2656 848
p 2 0 625 295 2750 892
p 2 1 568 351 2302 856
p 2 0 601 319 2463 924
p 2 0 613 307 3513 909
p 2 0 620 300 3454 912
p 2 0 585 335 2306 864
p 2 0 554 366 1863 816
p 2 2 534 384 1931 817
p 2 0 550 370 1851 806
p 2 0 572 348 3513 853
p 2 0 568 352 2539 830
p 2 0 568 352 2197 844
p 2 0 576 344 1990 833
p 2 0 522 398 1850 784
p 2 0 572 348 2749 821
p 2 0 611 309 4163 893
i 2 920 0 0 39505 3743
p 2 0 717 203 12343 1157
p 2 0 713 207 13180 1135
p 2 0 708 212 11352 1141
p 2 0 714 206 10590 1109
p 2 0 713 207 12197 1117
p 2 0 715 205 11317 1133
p 2 0 716 204 10558 1131
p 2 0 711 209 10632 1107
p 2 0 715 205 10407 1104
p 2 0 711 209 11134 1122
p 2 0 714 206 10857 1123
p 2 0 713 207 11296 1148
p 2 0 717 203 10160 1126
p 2 1 713 206 10912 1114
p 2 0 713 207 12316 1142
p 2 0 714 206 11078 1128
p 2 0 714 206 10992 1134
p 2 0 716 204 11652 1108
p 2 0 717 203 10468 1114
p 2 0 711 209 11725 1122
p 2 1 715 204 10486 1105
p 2 0 713 207 10794 1112
p 2 0 714 206 12383 1150
p 2 0 712 208 11359 1121
p 2 0 713 207 11466 1117
p 2 0 712 208 11051 1128
p 2 0 711 209 11332 1121
p 2 0 712 208 11279 1129
p 2 1 712 207 11881 1143
p 2 0 714 206 15143 1188
p 2 1 712 207 10908 1170
p 2 2 710 208 11627 1143
p 2 0 712 208 10856 1117
p 2 0 713 207 11137 1126
p 2 0 713 207 11931 1141
p 2 1 712 207 11692 1153
p 2 0 715 205 10974 1141
p 2 0 714 206 10059 1137
p 2 0 715 205 10622 1117
p 2 1 711 208 9292 1123
p 2 1 714 205 10834 1143
p 2 1 711 208 10967 1132
p 2 0 713 207 11228 1142
p 2 0 711 209 10873 1147
p 2 0 712 208 8005 1118
p 2 0 712 208 10051 1125
p 2 0 713 207 12540 1153
p 2 0 712 208 11654 1165
p 2 0 711 209 10999 1166
p 2 1 710 209 10791 1146
p 2 0 712 208 11627 1150
p 2 0 709 211 12040 1153
p 2 0 712 208 12628 1155
p 2 7 702 211 11315 1169
p 2 0 714 206 10981 1123
p 2 0 714 206 11832 1154
p 2 0 714 206 10644 1128
p 2 2 710 208 10878 1145
p 2 1 714 205 11998 1164
p 2 0 710 210 11787 1159
p 2 5 709 206 11604 1157
p 2 0 711 209 11229 1160
p 2 5 708 207 11975 1164
p 2 1 709 210 10903 1146
p 2 0 712 208 10712 1148
p 2 0 710 210 11784 1142
p 2 1 711 208 12357 1158
p 2 0 709 211 11364 1146
p 2 1 712 207 11967 1139
p 2 0 708 212 11671 1125
p 2 0 714 206 11423 1104
p 2 4 706 210 11235 1124
p 2 0 717 203 11842 1130
p 2 1 713 206 11433 1133
p 2 0 716 204 10920 1127
p 2 2 708 210 11700 1125
p 2 3 713 204 11057 1142
p 2 1 709 210 12210 1097
p 2 2 708 210 11987 1116
p 2 5 705 210 12152 1126
p 2 1 714 205 12252 1125
p 2 2 709 209 12046 1137
p 2 3 708 209 11600 1130
p 2 2 708 210 12600 1115
p 2 1 710 209 12567 1135
p 2 0 711 209 12423 1119
p 2 5 708 207 12704 1144
p 2 1 713 206 12376 1132
p 2 2 711 207 12471 1142
p 2 1 710 209 11598 1107
p 2 0 712 208 12015 1119
p 2 1 710 209 12644 1139
p 2 5 705 210 12351 1118
p 2 0 711 209 13498 1131
p 2 0 714 206 12004 1133
p 2 4 704 212 12366 1113
p 2 0 709 211 11839 1115
p 2 0 714 206 10595 1105
p 2 0 709 211 11394 1118
p 2 1 705 214 11975 1093
p 2 0 710 210 11098 1085
p 2 0 711 209 7953 1045
p 2 1 709 210 6740 1065
p 2 0 704 216 6405 1039
p 2 2 708 210 12068 1087
p 2 2 709 209 12073 1075
p 2 0 709 211 11895 1091
p 2 0 703 217 11538 1065
p 2 0 707 213 11831 1067
p 2 0 708 212 9872 1047
p 2 0 708 212 10989 1055
p 2 0 711 209 6745 1030
p 2 0 705 215 6800 1032
p 2 3 702 215 10017 1035
p 2 0 709 211 11510 1052
p 2 0 699 221 11818 1040
p 2 0 697 223 12822 1042
p 2 0 707 213 11627 1067
p 2 0 711 209 11759 1057
p 2 0 698 222 6670 984
p 2 0 703 217 7925 1011
p 2 0 691 229 6088 969
p 2 0 694 226 7113 989
p 2 0 711 209 10636 1024
p 2 0 688 232 10591 995
p 2 0 692 228 10581 974
p 2 0 676 244 10724 986
p 2 0 697 223 11465 1002
p 2 0 659 261 11537 981
p 2 0 664 256 5867 923
p 2 0 657 263 5448 928
p 2 0 651 269 3659 913
p 2 0 679 241 6513 953
p 2 0 599 321 3428 858
p 2 0 657 263 4600 914
p 2 0 571 349 2543 830
p 2 0 623 297 2699 865
p 2 0 616 304 2839 854
p 2 0 599 321 2119 837
p 2 0 586 334 2871 835
p 2 0 582 338 2127 814
p 2 0 555 365 1938 789
p 2 0 618 302 3608 867
p 2 0 621 299 3244 854
p 2 0 611 309 3315 871
p 2 0 545 375 1810 784
p 2 0 562 358 1937 802
p 2 0 608 312 4449 858
p 2 0 636 284 4238 897
p 2 0 595 325 2243 830
p 2 0 658 262 5261 933
p 2 0 565 355 2358 804
p 2 0 616 304 2429 853
p 2 0 631 289 4505 898
p 2 0 629 291 2825 885
p 2 0 638 282 5719 898
p 2 0 651 269 4149 902
p 2 0 615 305 3077 865
p 2 0 651 269 4803 888
p 2 0 642 278 4053 897
p 2 0 641 279 3295 887
p 2 0 617 303 3571 854
p 2 0 571 349 2362 817
p 2 0 585 335 2018 838
p 2 0 660 260 7742 942
p 2 0 620 300 4624 890
i 2 920 0 0 19711 3112
p 2 8 706 206 7814 1136
p 2 6 621 293 3808 951
p 2 1 594 325 3882 917
p 2 2 563 355 3709 882
p 2 3 580 337 5166 926
p 2 0 595 325 4140 898
p 2 1 575 344 3430 883
p 2 1 520 399 3280 846
p 2 1 555 364 4034 887
p 2 0 550 370 3306 856
p 2 1 491 428 3201 790
p 2 2 507 411 3307 834
p 2 1 611 308 4808 954
p 2 1 505 414 3980 817
p 2 5 565 350 4871 936
p 2 3 525 392 4014 866
p 2 4 594 322 5017 941
p 2 2 548 370 4559 905
p 2 4 552 364 4749 910
p 2 1 519 400 4538 853
p 2 2 543 375 4678 899
p 2 2 522 396 4631 878
p 2 0 532 388 4712 883
p 2 0 593 327 5485 945
p 2 0 642 278 5212 1017
p 2 2 533 385 5121 903
p 2 0 569 351 4918 942
p 2 1 542 377 5132 903
p 2 0 589 331 5401 975
p 2 2 603 315 6192 985
p 2 0 612 308 5103 1001
p 2 2 585 333 5660 975
p 2 2 568 350 6238 973
p 2 0 553 367 6161 925
p 2 5 563 352 5928 977
p 2 2 575 343 6323 980
p 2 3 582 335 6866 1004
p 2 1 628 291 10075 1109
p 2 5 592 323 7167 1019
p 2 0 578 342 6514 976
p 2 2 567 351 6685 971
p 2 2 589 329 6306 990
p 2 0 582 338 6451 972
p 2 0 561 359 6675 980
p 2 0 604 316 6970 1027
p 2 1 547 372 6238 930
p 2 3 540 377 6415 955
p 2 4 593 323 6788 1004
p 2 4 648 268 7249 1073
p 2 2 656 262 8971 1067
p 2 2 675 243 10883 1142
p 2 1 664 255 10872 1138
p 2 0 692 228 11298 1161
p 2 2 694 224 11383 1216
p 2 2 700 218 11366 1222
p 2 0 708 212 11378 1207
p 2 3 713 204 11393 1221
p 2 1 695 224 11742 1226
p 2 0 709 211 11749 1218
p 2 0 704 216 12323 1229
p 2 1 712 207 12741 1207
p 2 2 696 222 13014 1220
